[40413.0, 3714.40636, 'N', 12646.46285, 'E', 'A']
[40414.0, 3714.40689, 'N', 12646.46312, 'E', 'A']
[40415.0, 3714.40742, 'N', 12646.46339, 'E', 'A']
[40416.0, 3714.40795, 'N', 12646.46369, 'E', 'A']
[40417.0, 3714.40849, 'N', 12646.46401, 'E', 'A']
[40418.0, 3714.40906, 'N', 12646.46431, 'E', 'A']
[40419.0, 3714.40967, 'N', 12646.46462, 'E', 'A']
[40420.0, 3714.41025, 'N', 12646.46495, 'E', 'A']
[40421.0, 3714.41081, 'N', 12646.46529, 'E', 'A']
[40422.0, 3714.4114, 'N', 12646.4657, 'E', 'A']
[40423.0, 3714.41202, 'N', 12646.46611, 'E', 'A']
[40424.0, 3714.41259, 'N', 12646.46649, 'E', 'A']
[40425.0, 3714.41325, 'N', 12646.46679, 'E', 'A']
[40426.0, 3714.41388, 'N', 12646.46702, 'E', 'A']
[40427.0, 3714.41444, 'N', 12646.46717, 'E', 'A']
[40428.0, 3714.41499, 'N', 12646.46728, 'E', 'A']
[40429.0, 3714.41563, 'N', 12646.46738, 'E', 'A']
[40430.0, 3714.41628, 'N', 12646.46747, 'E', 'A']
[40431.0, 3714.41692, 'N', 12646.46753, 'E', 'A']
[40432.0, 3714.41747, 'N', 12646.46753, 'E', 'A']
[40433.0, 3714.41804, 'N', 12646.46743, 'E', 'A']
[40434.0, 3714.4187, 'N', 12646.46727, 'E', 'A']
[40435.0, 3714.41929, 'N', 12646.46702, 'E', 'A']
[40436.0, 3714.41989, 'N', 12646.46674, 'E', 'A']
[40437.0, 3714.42054, 'N', 12646.46641, 'E', 'A']
[40438.0, 3714.42121, 'N', 12646.46597, 'E', 'A']
[40439.0, 3714.42179, 'N', 12646.46553, 'E', 'A']
[40440.0, 3714.4223, 'N', 12646.46507, 'E', 'A']
[40441.0, 3714.42275, 'N', 12646.46453, 'E', 'A']
[40442.0, 3714.4232, 'N', 12646.46399, 'E', 'A']
[40443.0, 3714.42367, 'N', 12646.46341, 'E', 'A']
[40444.0, 3714.42409, 'N', 12646.46271, 'E', 'A']
[40445.0, 3714.42458, 'N', 12646.46204, 'E', 'A']
[40446.0, 3714.425, 'N', 12646.46142, 'E', 'A']
[40447.0, 3714.42529, 'N', 12646.46078, 'E', 'A']
[40448.0, 3714.42556, 'N', 12646.4601, 'E', 'A']
[40449.0, 3714.42587, 'N', 12646.45941, 'E', 'A']
[40450.0, 3714.42613, 'N', 12646.45878, 'E', 'A']
[40451.0, 3714.42643, 'N', 12646.45809, 'E', 'A']
[40452.0, 3714.42677, 'N', 12646.45739, 'E', 'A']
[40453.0, 3714.42715, 'N', 12646.45662, 'E', 'A']
[40454.0, 3714.42748, 'N', 12646.45595, 'E', 'A']
[40455.0, 3714.42779, 'N', 12646.45526, 'E', 'A']
[40456.0, 3714.42811, 'N', 12646.45458, 'E', 'A']
[40457.0, 3714.42843, 'N', 12646.45382, 'E', 'A']
[40458.0, 3714.42878, 'N', 12646.45307, 'E', 'A']
[40459.0, 3714.42911, 'N', 12646.45233, 'E', 'A']
[40500.0, 3714.42939, 'N', 12646.45166, 'E', 'A']
[40501.0, 3714.42967, 'N', 12646.451, 'E', 'A']
[40502.0, 3714.4299, 'N', 12646.45036, 'E', 'A']
[40503.0, 3714.43022, 'N', 12646.44969, 'E', 'A']
[40504.0, 3714.4305, 'N', 12646.44902, 'E', 'A']
[40505.0, 3714.43079, 'N', 12646.44824, 'E', 'A']
[40506.0, 3714.4311, 'N', 12646.44749, 'E', 'A']
[40507.0, 3714.43137, 'N', 12646.44681, 'E', 'A']
[40508.0, 3714.43162, 'N', 12646.44608, 'E', 'A']
[40509.0, 3714.43185, 'N', 12646.44524, 'E', 'A']
[40510.0, 3714.43203, 'N', 12646.44437, 'E', 'A']
[40511.0, 3714.4321, 'N', 12646.44351, 'E', 'A']
[40512.0, 3714.43205, 'N', 12646.44264, 'E', 'A']
[40513.0, 3714.43191, 'N', 12646.44179, 'E', 'A']
[40514.0, 3714.43162, 'N', 12646.44095, 'E', 'A']
[40515.0, 3714.43128, 'N', 12646.44012, 'E', 'A']
[40516.0, 3714.43088, 'N', 12646.43934, 'E', 'A']
[40517.0, 3714.43045, 'N', 12646.43857, 'E', 'A']
[40518.0, 3714.42997, 'N', 12646.43778, 'E', 'A']
[40519.0, 3714.42944, 'N', 12646.4371, 'E', 'A']
[40520.0, 3714.42883, 'N', 12646.43645, 'E', 'A']
[40521.0, 3714.42823, 'N', 12646.43595, 'E', 'A']
[40522.0, 3714.42765, 'N', 12646.43552, 'E', 'A']
[40523.0, 3714.42704, 'N', 12646.43515, 'E', 'A']
[40524.0, 3714.42643, 'N', 12646.43476, 'E', 'A']
[40525.0, 3714.4258, 'N', 12646.4344, 'E', 'A']
[40526.0, 3714.42522, 'N', 12646.43399, 'E', 'A']
[40527.0, 3714.42463, 'N', 12646.43357, 'E', 'A']
[40528.0, 3714.42397, 'N', 12646.43313, 'E', 'A']
[40529.0, 3714.42337, 'N', 12646.43269, 'E', 'A']
[40530.0, 3714.42278, 'N', 12646.43228, 'E', 'A']
[40531.0, 3714.4222, 'N', 12646.43193, 'E', 'A']
[40532.0, 3714.42158, 'N', 12646.43155, 'E', 'A']
[40533.0, 3714.42097, 'N', 12646.43118, 'E', 'A']
[40534.0, 3714.4204, 'N', 12646.43082, 'E', 'A']
[40535.0, 3714.41989, 'N', 12646.43047, 'E', 'A']
[40536.0, 3714.41937, 'N', 12646.43006, 'E', 'A']
[40537.0, 3714.41882, 'N', 12646.42965, 'E', 'A']
[40538.0, 3714.41829, 'N', 12646.42929, 'E', 'A']
[40539.0, 3714.41771, 'N', 12646.42894, 'E', 'A']
[40540.0, 3714.41712, 'N', 12646.42856, 'E', 'A']
[40541.0, 3714.41652, 'N', 12646.42811, 'E', 'A']
[40542.0, 3714.4159, 'N', 12646.42769, 'E', 'A']
[40543.0, 3714.41533, 'N', 12646.42724, 'E', 'A']
[40544.0, 3714.41478, 'N', 12646.42681, 'E', 'A']
[40545.0, 3714.41421, 'N', 12646.42638, 'E', 'A']
[40546.0, 3714.41361, 'N', 12646.42596, 'E', 'A']
[40547.0, 3714.413, 'N', 12646.42555, 'E', 'A']
[40548.0, 3714.41244, 'N', 12646.42513, 'E', 'A']
[40549.0, 3714.41186, 'N', 12646.4247, 'E', 'A']
[40550.0, 3714.41124, 'N', 12646.42431, 'E', 'A']
[40551.0, 3714.41059, 'N', 12646.42394, 'E', 'A']
[40552.0, 3714.41, 'N', 12646.42356, 'E', 'A']
[40553.0, 3714.40944, 'N', 12646.42316, 'E', 'A']
[40554.0, 3714.40886, 'N', 12646.42276, 'E', 'A']
[40555.0, 3714.40825, 'N', 12646.42236, 'E', 'A']
[40556.0, 3714.40768, 'N', 12646.42194, 'E', 'A']
[40557.0, 3714.40711, 'N', 12646.42153, 'E', 'A']
[40558.0, 3714.40654, 'N', 12646.42113, 'E', 'A']
[40559.0, 3714.40597, 'N', 12646.42072, 'E', 'A']
[40600.0, 3714.40546, 'N', 12646.42029, 'E', 'A']
[40601.0, 3714.40493, 'N', 12646.41986, 'E', 'A']
[40602.0, 3714.40439, 'N', 12646.41946, 'E', 'A']
[40603.0, 3714.40384, 'N', 12646.4191, 'E', 'A']
[40604.0, 3714.40326, 'N', 12646.41875, 'E', 'A']
[40605.0, 3714.40269, 'N', 12646.41837, 'E', 'A']
[40606.0, 3714.4021, 'N', 12646.41797, 'E', 'A']
[40607.0, 3714.40155, 'N', 12646.41755, 'E', 'A']
[40608.0, 3714.401, 'N', 12646.41715, 'E', 'A']
[40609.0, 3714.40042, 'N', 12646.41677, 'E', 'A']
[40610.0, 3714.39983, 'N', 12646.41642, 'E', 'A']
[40611.0, 3714.39926, 'N', 12646.41613, 'E', 'A']
[40612.0, 3714.39867, 'N', 12646.4158, 'E', 'A']
[40613.0, 3714.39808, 'N', 12646.41547, 'E', 'A']
[40614.0, 3714.39754, 'N', 12646.41509, 'E', 'A']
[40615.0, 3714.39696, 'N', 12646.41467, 'E', 'A']
[40616.0, 3714.3964, 'N', 12646.41424, 'E', 'A']
[40617.0, 3714.39583, 'N', 12646.41384, 'E', 'A']
[40618.0, 3714.39524, 'N', 12646.41347, 'E', 'A']
[40619.0, 3714.39472, 'N', 12646.41314, 'E', 'A']
[40620.0, 3714.39416, 'N', 12646.41277, 'E', 'A']
[40621.0, 3714.39354, 'N', 12646.41239, 'E', 'A']
[40622.0, 3714.3929, 'N', 12646.41206, 'E', 'A']
[40623.0, 3714.3923, 'N', 12646.41172, 'E', 'A']
[40624.0, 3714.39173, 'N', 12646.41137, 'E', 'A']
[40625.0, 3714.39116, 'N', 12646.41098, 'E', 'A']
[40626.0, 3714.39056, 'N', 12646.41055, 'E', 'A']
[40627.0, 3714.38994, 'N', 12646.41007, 'E', 'A']
[40628.0, 3714.38934, 'N', 12646.40964, 'E', 'A']
[40629.0, 3714.38876, 'N', 12646.40928, 'E', 'A']
[40630.0, 3714.38819, 'N', 12646.4089, 'E', 'A']
[40631.0, 3714.3876, 'N', 12646.40848, 'E', 'A']
[40632.0, 3714.38699, 'N', 12646.40805, 'E', 'A']
[40633.0, 3714.38639, 'N', 12646.40769, 'E', 'A']
[40634.0, 3714.38578, 'N', 12646.40737, 'E', 'A']
[40635.0, 3714.38519, 'N', 12646.407, 'E', 'A']
[40636.0, 3714.38456, 'N', 12646.40659, 'E', 'A']
[40637.0, 3714.38396, 'N', 12646.40618, 'E', 'A']
[40638.0, 3714.3834, 'N', 12646.40577, 'E', 'A']
[40639.0, 3714.38284, 'N', 12646.40538, 'E', 'A']
[40641.0, 3714.38169, 'N', 12646.40453, 'E', 'A']
[40641.0, 3714.38169, 'N', 12646.40453, 'E', 'A']
[40643.0, 3714.38045, 'N', 12646.40369, 'E', 'A']
[40644.0, 3714.37983, 'N', 12646.4033, 'E', 'A']
[40645.0, 3714.37923, 'N', 12646.40294, 'E', 'A']
[40646.0, 3714.37871, 'N', 12646.40253, 'E', 'A']
[40647.0, 3714.37809, 'N', 12646.40208, 'E', 'A']
[40648.0, 3714.37746, 'N', 12646.40164, 'E', 'A']
[40649.0, 3714.37685, 'N', 12646.40121, 'E', 'A']
[40650.0, 3714.37626, 'N', 12646.40076, 'E', 'A']
[40651.0, 3714.37564, 'N', 12646.40033, 'E', 'A']
[40652.0, 3714.37499, 'N', 12646.39995, 'E', 'A']
[40653.0, 3714.37431, 'N', 12646.39963, 'E', 'A']
[40654.0, 3714.37367, 'N', 12646.39928, 'E', 'A']
[40655.0, 3714.37304, 'N', 12646.39889, 'E', 'A']
[40656.0, 3714.37239, 'N', 12646.39847, 'E', 'A']
[40657.0, 3714.3718, 'N', 12646.39804, 'E', 'A']
[40658.0, 3714.37121, 'N', 12646.39766, 'E', 'A']
[40659.0, 3714.37062, 'N', 12646.39726, 'E', 'A']
[40700.0, 3714.36999, 'N', 12646.39688, 'E', 'A']
[40701.0, 3714.36936, 'N', 12646.39655, 'E', 'A']
[40702.0, 3714.36873, 'N', 12646.39631, 'E', 'A']
[40703.0, 3714.3681, 'N', 12646.39613, 'E', 'A']
[40704.0, 3714.36745, 'N', 12646.39586, 'E', 'A']
[40705.0, 3714.36684, 'N', 12646.39544, 'E', 'A']
[40706.0, 3714.36626, 'N', 12646.39496, 'E', 'A']
[40707.0, 3714.36571, 'N', 12646.39454, 'E', 'A']
[40708.0, 3714.36517, 'N', 12646.39412, 'E', 'A']
[40709.0, 3714.36461, 'N', 12646.39374, 'E', 'A']
[40710.0, 3714.36405, 'N', 12646.39334, 'E', 'A']
[40711.0, 3714.36354, 'N', 12646.39291, 'E', 'A']
[40712.0, 3714.36296, 'N', 12646.39248, 'E', 'A']
[40713.0, 3714.36238, 'N', 12646.39205, 'E', 'A']
[40714.0, 3714.3618, 'N', 12646.39166, 'E', 'A']
[40715.0, 3714.36124, 'N', 12646.39127, 'E', 'A']
[40716.0, 3714.36065, 'N', 12646.39086, 'E', 'A']
[40717.0, 3714.36007, 'N', 12646.39045, 'E', 'A']
[40718.0, 3714.3595, 'N', 12646.39006, 'E', 'A']
[40719.0, 3714.35892, 'N', 12646.38964, 'E', 'A']
[40720.0, 3714.35832, 'N', 12646.38922, 'E', 'A']
[40721.0, 3714.35774, 'N', 12646.38883, 'E', 'A']
[40722.0, 3714.35716, 'N', 12646.38842, 'E', 'A']
