[41130.0, 3714.40971, 'N', 12646.41875, 'E', 'A']
[41131.0, 3714.40939, 'N', 12646.4195, 'E', 'A']
[41132.0, 3714.40904, 'N', 12646.42027, 'E', 'A']
[41133.0, 3714.40867, 'N', 12646.42105, 'E', 'A']
[41134.0, 3714.40831, 'N', 12646.42187, 'E', 'A']
[41135.0, 3714.40798, 'N', 12646.42266, 'E', 'A']
[41136.0, 3714.40765, 'N', 12646.42346, 'E', 'A']
[41137.0, 3714.40736, 'N', 12646.42425, 'E', 'A']
[41138.0, 3714.40707, 'N', 12646.42507, 'E', 'A']
[41139.0, 3714.40677, 'N', 12646.42589, 'E', 'A']
[41140.0, 3714.40645, 'N', 12646.42666, 'E', 'A']
[41141.0, 3714.40615, 'N', 12646.42739, 'E', 'A']
[41142.0, 3714.40583, 'N', 12646.42822, 'E', 'A']
[41143.0, 3714.40553, 'N', 12646.42905, 'E', 'A']
[41144.0, 3714.40517, 'N', 12646.42982, 'E', 'A']
[41145.0, 3714.40479, 'N', 12646.43057, 'E', 'A']
[41146.0, 3714.40446, 'N', 12646.43133, 'E', 'A']
[41147.0, 3714.40414, 'N', 12646.43213, 'E', 'A']
[41148.0, 3714.40385, 'N', 12646.43296, 'E', 'A']
[41149.0, 3714.40353, 'N', 12646.43372, 'E', 'A']
[41150.0, 3714.40324, 'N', 12646.43446, 'E', 'A']
[41151.0, 3714.40292, 'N', 12646.43524, 'E', 'A']
[41152.0, 3714.40259, 'N', 12646.43602, 'E', 'A']
[41153.0, 3714.4023, 'N', 12646.43678, 'E', 'A']
[41154.0, 3714.402, 'N', 12646.43756, 'E', 'A']
[41155.0, 3714.40168, 'N', 12646.43833, 'E', 'A']
[41156.0, 3714.40135, 'N', 12646.43911, 'E', 'A']
[41157.0, 3714.40102, 'N', 12646.43984, 'E', 'A']
[41158.0, 3714.40074, 'N', 12646.44058, 'E', 'A']
[41159.0, 3714.40043, 'N', 12646.44136, 'E', 'A']
[41200.0, 3714.40012, 'N', 12646.44212, 'E', 'A']
[41201.0, 3714.39979, 'N', 12646.44297, 'E', 'A']
[41202.0, 3714.39944, 'N', 12646.44383, 'E', 'A']
[41203.0, 3714.39909, 'N', 12646.44467, 'E', 'A']
[41204.0, 3714.39874, 'N', 12646.44551, 'E', 'A']
[41205.0, 3714.39841, 'N', 12646.44633, 'E', 'A']
[41206.0, 3714.39814, 'N', 12646.44717, 'E', 'A']
[41207.0, 3714.39778, 'N', 12646.44801, 'E', 'A']
[41208.0, 3714.39745, 'N', 12646.44885, 'E', 'A']
[41209.0, 3714.39718, 'N', 12646.44974, 'E', 'A']
[41210.0, 3714.39694, 'N', 12646.45066, 'E', 'A']
[41211.0, 3714.3967, 'N', 12646.45158, 'E', 'A']
[41212.0, 3714.39659, 'N', 12646.45255, 'E', 'A']
[41213.0, 3714.39662, 'N', 12646.45341, 'E', 'A']
[41214.0, 3714.39678, 'N', 12646.45431, 'E', 'A']
[41215.0, 3714.39705, 'N', 12646.45517, 'E', 'A']
[41216.0, 3714.39741, 'N', 12646.45597, 'E', 'A']
[41217.0, 3714.39785, 'N', 12646.45667, 'E', 'A']
[41218.0, 3714.39836, 'N', 12646.45727, 'E', 'A']
[41219.0, 3714.39891, 'N', 12646.4578, 'E', 'A']
[41220.0, 3714.39947, 'N', 12646.45828, 'E', 'A']
[41221.0, 3714.40006, 'N', 12646.45865, 'E', 'A']
[41222.0, 3714.40061, 'N', 12646.45899, 'E', 'A']
[41223.0, 3714.4012, 'N', 12646.45936, 'E', 'A']
[41224.0, 3714.40184, 'N', 12646.45977, 'E', 'A']
[41225.0, 3714.40244, 'N', 12646.46016, 'E', 'A']
[41226.0, 3714.40311, 'N', 12646.46057, 'E', 'A']
[41227.0, 3714.40375, 'N', 12646.46098, 'E', 'A']
[41228.0, 3714.40437, 'N', 12646.46141, 'E', 'A']
[41229.0, 3714.40498, 'N', 12646.46188, 'E', 'A']
[41230.0, 3714.40556, 'N', 12646.46231, 'E', 'A']
[41231.0, 3714.40617, 'N', 12646.46268, 'E', 'A']
[41232.0, 3714.40681, 'N', 12646.46299, 'E', 'A']
[41233.0, 3714.40748, 'N', 12646.46336, 'E', 'A']
[41234.0, 3714.40807, 'N', 12646.46373, 'E', 'A']
[41235.0, 3714.4087, 'N', 12646.46409, 'E', 'A']
[41236.0, 3714.40933, 'N', 12646.46453, 'E', 'A']
[41237.0, 3714.40998, 'N', 12646.46502, 'E', 'A']
[41238.0, 3714.41061, 'N', 12646.4655, 'E', 'A']
[41239.0, 3714.4112, 'N', 12646.46583, 'E', 'A']
[41240.0, 3714.41184, 'N', 12646.46612, 'E', 'A']
[41241.0, 3714.41249, 'N', 12646.46639, 'E', 'A']
[41242.0, 3714.41321, 'N', 12646.46673, 'E', 'A']
[41243.0, 3714.41381, 'N', 12646.46692, 'E', 'A']
[41244.0, 3714.41449, 'N', 12646.46713, 'E', 'A']
[41245.0, 3714.41523, 'N', 12646.46727, 'E', 'A']
[41246.0, 3714.41593, 'N', 12646.46729, 'E', 'A']
[41247.0, 3714.41671, 'N', 12646.46725, 'E', 'A']
[41248.0, 3714.41742, 'N', 12646.46719, 'E', 'A']
[41249.0, 3714.4181, 'N', 12646.46709, 'E', 'A']
[41250.0, 3714.4187, 'N', 12646.46694, 'E', 'A']
